name,height,diameter,opened,closed,country,location,number_of_cabins,passengers_per_cabin,seating_capacity,hourly_capacity,ride_duration_minutes,climate_controlled,construction_cost,status,design_manufacturer,type,vip_area,ticket_cost_to_ride,official_website,turns
SkyVue,500,NA,1/1/13,NA,USA,Las Vegas Strip; Nevada,32,24,768,1536,30,NA,$300 million USD,Under Construction,NA,NA,NA,NA,http://skyvuelasvegas.com/,NA
Observation Wheel Leeds,197,NA,2/16/13,NA,UK,Leeds,40,6,240,1107,13,Yes,Unknown,SBNO,NA,Portable,Yes,Adults – 7.79 Children – 5.19 VIP – 58.41,http://www.observationwheelleeds.co.uk/,NA
Star of Puebla,262,229,7/8/13,NA,Mexico,Linear Park; Puebla,54,8,432,864,30,Yes,Unknown,Operating,Ronald Bussink / Maurer German Wheels,Transportable,Yes,NA,NA,1
SkyView,200,NA,7/16/13,NA,USA,Atlanta,42,6,252,1008,15,Yes,Unknown,Operating,NA,Transportable,Yes,Adult – $13.50+tax ($14.45),http://www.skyviewatlanta.com/,4
Steel Pier Ferris Wheel,200,NA,1/1/14,NA,USA,Steel Pier; Atlantic City; New Jersey,42,NA,NA,NA,20,Yes,$12 million USD,Planned,NA,Fixed,NA,10 to 15,NA,NA
Nippon Moon,NA,NA,1/1/15,NA,Japan,NA,32,NA,NA,NA,40,Yes,Unknown,Design/Financing,UNStudio,Fixed,Yes,NA,http://www.wired.co.uk/news/archive/2013-09/03/nippon-moon-giant-wheel,NA
Orlando Eye,400,NA,1/1/15,NA,USA,Orlando; Florida,30,15,480,1309,22,Yes,$90 million USD,Under Construction,Intamin,NA,Yes,TBA,NA,1
The Dubai Eye,690,NA,1/1/15,NA,Dubai,NA,NA,NA,NA,NA,NA,Yes,$337 million USD,Under Construction,NA,NA,NA,NA,http://thedubaieye.com/,NA
New York Wheel,630,NA,1/1/17,NA,USA,Staten Island; New York City,36,40,1440,2273,38,Yes,$580 million USD,Under Construction,Mammoet-Starneth,Fixed,Yes,~$35,http://www.newyorkwheel.com/,1
Wonder Wheel,150,135,1/1/20,NA,USA,Coney Island; New York City,24,6,144,864,10,No,Unknown,Operating,Eccentric Ferris Wheel Company,Eccentric,No,7,http://www.wonderwheel.com/,2
Chicago Wheel,264,75,1/1/1893,1/1/06,USA,Chicago; Illinois,36,20,720,2160,20,No,Unknown,Defunct,George Ferris,Fixed,NA,NA,NA,NA
Wiener Riesenrad,212,200,1/1/1897,NA,Austria,Prater; Leopoldstadt; Vienna,15,NA,NA,NA,10,NA,Unknown,Operating,Walter Basset,NA,Yes,Adults – 11.69 Children – 5.19,http://www.wienerriesenrad.com/en,1
Great Wheel,308,270,7/7/1895,NA,UK,Earls Court; London,40,40,1600,4800,20,No,Unknown,Defunct,Adam Gaddelin and Gareth Watson,NA,NA,NA,NA,NA
